user_id,final_outbreak,std_outbreak,attack_rate,epidemic_probability,peak_infection,time_to_peak,duration,R0,growth_rate,strength,pagerank,eigenvector_centrality,approximate_current_flow_betweenness,clustering
5757,977.2,325.41090946678474,0.8445980985306828,0.9,833.95,2.95,46.75,14.6,0.9096509176277545,768.2066990364592,0.001060204340683101,0.03417985503887162,0.001225836426656317,0.7063446191498198
7094,977.2,325.40583891503854,0.8445980985306828,0.9,825.35,3.0,46.45,13.85,0.9297976224540125,837.3540216819264,0.0011467754179892813,0.036297324397156876,0.0014417394838358018,0.6802386751765098
6571,977.2,325.4107558148624,0.8445980985306828,0.9,828.45,3.15,44.65,14.3,0.9221850332169121,855.3891832204663,0.001177823811500667,0.03681223891735895,0.001495185335992293,0.6727849560727441
4962,977.2,325.4175164308154,0.8445980985306828,0.9,828.4,3.4,47.45,10.65,1.011553787434371,627.4590892591501,0.000871850613061096,0.029141118850863575,0.0010179838252874524,0.7316252833470771
1737,977.2,325.41859197040355,0.8445980985306828,0.9,828.7,3.5,47.3,9.5,1.036154838989673,585.6731264342512,0.0008213231250482966,0.027545650147134136,0.0009908407162169109,0.7363633195122705
1104,977.2,325.4212039803184,0.8445980985306828,0.9,826.9,3.2,44.55,12.1,0.9807069113168964,743.7439803553021,0.001017144850439538,0.03335175222358791,0.001169804818332621,0.7117274469400315
843,977.15,325.39564763530564,0.8445548833189283,0.9,834.5,3.0,45.55,16.15,0.8855028921932891,877.3432022172393,0.001221938928376662,0.037457396876742675,0.0015355599377876858,0.6653224582478646
2737,977.15,325.39457201987864,0.8445548833189283,0.9,833.1,3.55,48.05,8.75,1.0702435145804075,551.6608254553767,0.0007805631845229815,0.02616462732048132,0.0009506408598269034,0.7320168815985778
1834,977.15,325.39933543263425,0.8445548833189283,0.9,819.05,3.3,45.55,11.25,0.9873674826364888,660.5965592704221,0.000912066828989346,0.030432289700245252,0.0010661476974601668,0.7316209710454071
4672,977.15,325.38980853739105,0.8445548833189283,0.9,821.0,3.25,44.6,12.5,0.9497930328684675,611.0245784949338,0.0008519430955072938,0.028503108940148816,0.0010028985579826535,0.7322018192694941
4438,977.15,325.3954939761766,0.8445548833189283,0.9,826.6,3.0,44.3,13.85,0.9238540748959324,764.1688460828946,0.0010432323460968858,0.03404156494355002,0.0012219726158597033,0.7069207779531582
1981,977.15,325.39380372096826,0.8445548833189283,0.9,839.85,2.9,47.55,16.8,0.8722092648845471,853.308179502879,0.0011731589700137391,0.03676512023506243,0.0014914693196524025,0.6745739618007494
4819,977.15,325.40010371848376,0.8445548833189283,0.9,831.95,3.3,43.9,12.35,0.957557510757846,632.3440536043827,0.0009877613635846697,0.02931720739436112,0.0010235569476340304,0.7306708447957628
1534,977.1,325.379148071907,0.8445116681071737,0.9,837.3,2.95,48.25,16.5,0.8808999692179731,875.8487869556925,0.0012300330603519478,0.03736788851375587,0.0015338477715783178,0.6630625026694297
1446,977.1,325.3868313254241,0.8445116681071737,0.9,828.75,3.15,47.65,13.7,0.9362753920661405,758.6817927805232,0.0010359320790532308,0.03387766398861956,0.0012118553141061488,0.7096788399470297
6508,977.1,325.38959725227846,0.8445116681071737,0.9,852.9,4.05,45.95,1.45,1.5541763384429108,78.5685166918914,0.00022382660791638983,0.0041064474364145105,0.00016224327351867094,0.7084152793785314
4630,977.1,325.37484537068934,0.8445116681071737,0.9,826.9,3.3,45.7,11.95,0.9784589775244295,749.7921284329934,0.0010246230892360484,0.033578160184409726,0.0012047553953216782,0.7120843661514762
2958,977.1,325.37453803271086,0.8445116681071737,0.9,832.35,3.05,42.05,15.7,0.8995270307569955,862.0872766363375,0.0011888987070300153,0.036989956806851965,0.0015047220125846894,0.6693197649564445
6886,977.05,325.3755484052236,0.8444684528954192,0.9,829.25,3.2,45.75,14.3,0.9216916803845839,864.6673851030196,0.0011930909004685822,0.03710333811809962,0.0015118829438925652,0.6705902856080155
6783,977.05,325.35633926512025,0.8444684528954192,0.9,842.5,3.7,46.8,6.05,1.2076877354055073,333.45217345896987,0.0005213793909970299,0.016632824275588095,0.0005952271175242225,0.7104520207748369
6654,977.05,325.3710919857509,0.8444684528954192,0.9,852.25,3.65,45.3,4.0,1.2876191517790592,243.79476373709267,0.0004166874797088951,0.012364706076547055,0.00047204541715724634,0.7077464031693517
2506,977.05,325.36771121302127,0.8444684528954192,0.9,835.0,2.85,46.7,15.25,0.8964835462644974,876.4307777213745,0.0012139477757342274,0.03746934194710244,0.0015373473519827068,0.6679244504914915
2570,977.05,325.37078464422706,0.8444684528954192,0.9,834.0,2.95,46.95,14.7,0.9182194582150591,795.5308142042288,0.001085488976528695,0.03505114672985716,0.0013847119917557334,0.6969312625380139
5008,977.05,325.37324336828925,0.8444684528954192,0.9,822.8,3.35,44.8,12.5,0.9577474368462955,716.2084379884544,0.000981758921645019,0.03243629307311165,0.0011112647517094183,0.721085557486868
827,977.05,325.3587980983456,0.8444684528954192,0.9,855.15,3.65,46.65,3.35,1.3429630485940294,208.63084005534452,0.00037569965981969406,0.010651992505056197,0.00041038928524350014,0.7073012693750668
6275,977.0,325.34781388538636,0.8444252376836646,0.9,833.05,3.55,46.95,8.1,1.0898008595937076,506.538095985173,0.0007260324415542019,0.024327139011318243,0.0008709640179375103,0.7271332578920464
1815,977.0,325.3404370809137,0.8444252376836646,0.9,823.7,3.1,47.9,12.65,0.9555866963664036,706.6667086935347,0.0009699327259670667,0.0320883854315856,0.0011032341452135083,0.7225943103743666
5406,977.0,325.3459696999488,0.8444252376836646,0.9,829.55,3.0,44.45,16.25,0.8883071644813015,857.494328395513,0.001227616712295719,0.03683201100638318,0.0014959138268329265,0.6694686885150667
3273,977.0,325.34766020366584,0.8444252376836646,0.9,826.7,3.15,45.3,14.35,0.9287235363846733,803.1365341069717,0.0010953494019853565,0.03529362389427173,0.0013937279681288754,0.6948286867361914
2121,977.0,325.35180958464025,0.8444252376836646,0.9,827.95,3.1,47.65,13.0,0.9556177697627803,753.9307254500259,0.0010298739046820395,0.03371970927489977,0.0011724018638301855,0.7113229396770314
3201,977.0,325.34704547605776,0.8444252376836646,0.9,854.8,3.75,46.1,2.75,1.4035766730421693,139.91230393546564,0.0002956837054972678,0.007232636043484456,0.00031754356457915555,0.7091112779475989
