user_id,final_outbreak,std_outbreak,attack_rate,epidemic_probability,peak_infection,time_to_peak,duration,R0,growth_rate,strength,pagerank
2358,1043.6,239.21755788403158,0.9019878997407087,0.95,910.35,2.85,46.8,39.95,0.5759596284556255,804.8641197362243,0.0010977519062579755
6211,1043.6,239.22863540972685,0.9019878997407087,0.95,924.7,2.85,46.25,27.05,0.6728422627831443,594.2710294632183,0.0008315575245493674
6210,1043.55,239.22175381850204,0.9019446845289542,0.95,928.9,2.85,49.85,25.45,0.6903106040253985,536.4329231479046,0.0007617173536538001
2538,1043.55,239.19165432765413,0.9019446845289542,0.95,917.25,2.85,48.1,33.45,0.6159653946544633,696.1341621609996,0.0009563591400153308
5595,1043.55,239.1926995123388,0.9019446845289542,0.95,908.75,2.85,48.35,36.7,0.5911723953025353,759.2188504719088,0.0010366613357276385
4819,1043.55,239.2230078817671,0.9019446845289542,0.95,920.25,2.85,48.95,28.75,0.6563785334108115,632.3440536043827,0.0009877613635846697
3847,1043.5,239.19270473825074,0.9019014693171996,0.95,908.8,2.85,52.3,38.7,0.5799171171950875,862.2773512797913,0.0011865759148195793
4937,1043.5,239.1837160009017,0.9019014693171996,0.95,943.4,2.85,47.45,15.55,0.8203642399805111,322.48018556911643,0.0005088783795531196
2624,1043.45,239.1933266209574,0.9018582541054452,0.95,910.0,2.85,51.3,35.35,0.6005319959412716,684.5038858228764,0.0009415973155360842
97,1043.45,239.1801569946805,0.9018582541054452,0.95,914.3,2.85,48.75,35.05,0.6072304248541753,782.8500626957094,0.0010680334992570137
3636,1043.45,239.18496503752067,0.9018582541054452,0.95,906.3,2.85,46.9,41.95,0.5598320772010691,845.0069207818246,0.001158879064698584
7135,1043.4,239.17972322084492,0.9018150388936906,0.95,926.8,2.85,49.45,24.3,0.696599243099575,529.3442694144267,0.0007532339804817138
1042,1043.4,239.18557648821553,0.9018150388936906,0.95,925.2,2.85,50.4,26.8,0.6731193011431551,574.0497952572146,0.0008070574954907341
2272,1043.35,239.1604639149205,0.901771823681936,0.95,957.35,2.85,47.5,10.7,0.9242856834540756,227.65571585156047,0.0004195939002186849
971,1043.35,239.1698716393852,0.901771823681936,0.95,913.55,2.85,52.25,35.8,0.5991109807514764,698.7976427781188,0.0009596930390492607
5587,1043.35,239.1514739657692,0.901771823681936,0.95,921.1,2.85,50.55,30.2,0.6471559264888109,682.7581716042739,0.0009396060441658058
2650,1043.35,239.15900045785438,0.901771823681936,0.95,910.5,2.85,49.2,35.95,0.6003929418619495,763.9617013288599,0.0010429467110422358
1828,1043.3,239.15854573901393,0.9017286084701814,0.95,912.8,2.85,48.1,37.0,0.5947994762980167,809.8558751724499,0.0011065403047750184
1981,1043.25,239.13591846479275,0.901685393258427,0.95,907.45,2.85,47.2,39.0,0.5762209059233891,853.308179502879,0.0011731589700137391
135,1043.25,239.14637254200616,0.901685393258427,0.95,914.3,2.85,47.5,38.7,0.5850334476220446,874.8980504315639,0.0012154486755199508
1538,1043.25,239.12107288986473,0.901685393258427,0.95,912.85,2.85,48.45,40.0,0.5753201368403973,829.446526344842,0.0011353754497088928
3529,1043.25,239.1371729781884,0.901685393258427,0.95,911.75,2.85,49.65,36.95,0.5887528455294976,766.6816810785971,0.0010463321557972615
